"doi","measure","count","tweet"
"10.1097/ACM.0000000000000590","seven_uv",2,1
"10.1097/ACM.0000000000000591","seven_uv",3,1
"10.1097/ACM.0000000000000592","seven_uv",6,1
"10.1097/ACM.0000000000000594","seven_uv",1,1
"10.1097/ACM.0000000000000606","seven_uv",4,1
"10.1097/ACM.0000000000000610","seven_uv",12,1
"10.1097/ACM.0000000000000612","seven_uv",1,1
"10.1097/ACM.0000000000000616","seven_uv",3,1
"10.1097/ACM.0000000000000617","seven_uv",0,1
"10.1097/ACM.0000000000000619","seven_uv",7,1
"10.1097/ACM.0000000000000631","seven_uv",0,1
"10.1097/ACM.0000000000000632","seven_uv",0,1
"10.1097/ACM.0000000000000633","seven_uv",1,1
"10.1097/ACM.0000000000000640","seven_uv",3,1
"10.1097/ACM.0000000000000646","seven_uv",70,1
"10.1097/ACM.0000000000000648","seven_uv",0,1
"10.1097/ACM.0000000000000649","seven_uv",1,1
"10.1097/ACM.0000000000000650","seven_uv",1,1
"10.1097/ACM.0000000000000655","seven_uv",15,1
"10.1097/ACM.0000000000000658","seven_uv",0,1
"10.1097/ACM.0000000000000661","seven_uv",9,1
"10.1097/ACM.0000000000000674","seven_uv",1,1
"10.1097/ACM.0000000000000675","seven_uv",2,1
"10.1097/ACM.0000000000000679","seven_uv",6,1
"10.1097/ACM.0000000000000680","seven_uv",0,1
"10.1097/ACM.0000000000000681","seven_uv",3,1
"10.1097/ACM.0000000000000683","seven_uv",2,1
"10.1097/ACM.0000000000000685","seven_uv",1,1
"10.1097/ACM.0000000000000686","seven_uv",0,1
"10.1097/ACM.0000000000000701","seven_uv",1,1
"10.1097/ACM.0000000000000704","seven_uv",0,1
"10.1097/ACM.0000000000000705","seven_uv",0,1
"10.1097/ACM.0000000000000714","seven_uv",3,1
"10.1097/ACM.0000000000000716","seven_uv",2,1
"10.1097/ACM.0000000000000718","seven_uv",3,1
"10.1097/ACM.0000000000000719","seven_uv",6,1
"10.1097/ACM.0000000000000734","seven_uv",17,1
"10.1097/ACM.0000000000000736","seven_uv",3,1
"10.1097/ACM.0000000000000755","seven_uv",1,1
"10.1097/ACM.0000000000000763","seven_uv",0,1
"10.1097/ACM.0000000000000766","seven_uv",0,1
"10.1097/ACM.0000000000000768","seven_uv",1,1
"10.1097/ACM.0000000000000773","seven_uv",0,1
"10.1097/ACM.0000000000000777","seven_uv",3,1
"10.1097/ACM.0000000000000779","seven_uv",10,1
"10.1097/ACM.0000000000000786","seven_uv",8,1
"10.1097/ACM.0000000000000792","seven_uv",3,1
"10.1097/ACM.0000000000000794","seven_uv",3,1
"10.1097/ACM.0000000000000801","seven_uv",11,1
"10.1097/ACM.0000000000000803","seven_uv",7,1
"10.1097/ACM.0000000000000806","seven_uv",0,1
"10.1097/ACM.0000000000000809","seven_uv",11,1
"10.1097/ACM.0000000000000822","seven_uv",8,1
"10.1097/ACM.0000000000000828","seven_uv",0,1
"10.1097/ACM.0000000000000829","seven_uv",1,1
"10.1097/ACM.0000000000000842","seven_uv",7,1
"10.1097/ACM.0000000000000846","seven_uv",0,1
"10.1097/ACM.0000000000000857","seven_uv",0,1
"10.1097/ACM.0000000000000860","seven_uv",1,1
"10.1097/ACM.0000000000000873","seven_uv",0,1
"10.1097/ACM.0000000000000887","seven_uv",4,1
"10.1097/ACM.0000000000000921","seven_uv",5,1
"10.1097/ACM.0000000000000933","seven_uv",1,1
"10.1097/ACM.0000000000000939","seven_uv",10,1
"10.1097/ACM.0000000000000954","seven_uv",0,1
"10.1097/ACM.0000000000000960","seven_uv",3,1
"10.1097/ACM.0000000000000970","seven_uv",3,1
"10.1097/ACM.0000000000000437","thirty_uv",14,1
"10.1097/ACM.0000000000000440","thirty_uv",1,1
"10.1097/ACM.0000000000000449","thirty_uv",46,1
"10.1097/ACM.0000000000000465","thirty_uv",8,1
"10.1097/ACM.0000000000000499","thirty_uv",21,1
"10.1097/ACM.0000000000000506","thirty_uv",8,1
"10.1097/ACM.0000000000000521","thirty_uv",37,1
"10.1097/ACM.0000000000000522","thirty_uv",14,1
"10.1097/ACM.0000000000000524","thirty_uv",1,1
"10.1097/ACM.0000000000000525","thirty_uv",27,1
"10.1097/ACM.0000000000000528","thirty_uv",3,1
"10.1097/ACM.0000000000000529","thirty_uv",24,1
"10.1097/ACM.0000000000000535","thirty_uv",3,1
"10.1097/ACM.0000000000000541","thirty_uv",4,1
"10.1097/ACM.0000000000000543","thirty_uv",18,1
"10.1097/ACM.0000000000000547","thirty_uv",8,1
"10.1097/ACM.0000000000000550","thirty_uv",2,1
"10.1097/ACM.0000000000000551","thirty_uv",1,1
"10.1097/ACM.0000000000000553","thirty_uv",1,1
"10.1097/ACM.0000000000000562","thirty_uv",2,1
"10.1097/ACM.0000000000000564","thirty_uv",10,1
"10.1097/ACM.0000000000000578","thirty_uv",8,1
"10.1097/ACM.0000000000000579","thirty_uv",9,1
"10.1097/ACM.0000000000000581","thirty_uv",12,1
"10.1097/ACM.0000000000000583","thirty_uv",4,1
"10.1097/ACM.0000000000000586","thirty_uv",51,1
"10.1097/ACM.0000000000000588","thirty_uv",8,1
"10.1097/ACM.0000000000000590","thirty_uv",2,1
"10.1097/ACM.0000000000000591","thirty_uv",17,1
"10.1097/ACM.0000000000000592","thirty_uv",20,1
"10.1097/ACM.0000000000000594","thirty_uv",11,1
"10.1097/ACM.0000000000000606","thirty_uv",23,1
"10.1097/ACM.0000000000000610","thirty_uv",54,1
"10.1097/ACM.0000000000000612","thirty_uv",3,1
"10.1097/ACM.0000000000000616","thirty_uv",13,1
"10.1097/ACM.0000000000000617","thirty_uv",0,1
"10.1097/ACM.0000000000000619","thirty_uv",17,1
"10.1097/ACM.0000000000000631","thirty_uv",10,1
"10.1097/ACM.0000000000000632","thirty_uv",2,1
"10.1097/ACM.0000000000000633","thirty_uv",10,1
"10.1097/ACM.0000000000000640","thirty_uv",3,1
"10.1097/ACM.0000000000000646","thirty_uv",598,1
"10.1097/ACM.0000000000000648","thirty_uv",1,1
"10.1097/ACM.0000000000000649","thirty_uv",8,1
"10.1097/ACM.0000000000000650","thirty_uv",3,1
"10.1097/ACM.0000000000000655","thirty_uv",51,1
"10.1097/ACM.0000000000000658","thirty_uv",1,1
"10.1097/ACM.0000000000000661","thirty_uv",11,1
"10.1097/ACM.0000000000000674","thirty_uv",14,1
"10.1097/ACM.0000000000000675","thirty_uv",20,1
"10.1097/ACM.0000000000000679","thirty_uv",27,1
"10.1097/ACM.0000000000000680","thirty_uv",6,1
"10.1097/ACM.0000000000000681","thirty_uv",25,1
"10.1097/ACM.0000000000000683","thirty_uv",10,1
"10.1097/ACM.0000000000000685","thirty_uv",4,1
"10.1097/ACM.0000000000000686","thirty_uv",1,1
"10.1097/ACM.0000000000000701","thirty_uv",3,1
"10.1097/ACM.0000000000000704","thirty_uv",2,1
"10.1097/ACM.0000000000000705","thirty_uv",2,1
"10.1097/ACM.0000000000000714","thirty_uv",25,1
"10.1097/ACM.0000000000000716","thirty_uv",9,1
"10.1097/ACM.0000000000000718","thirty_uv",12,1
"10.1097/ACM.0000000000000719","thirty_uv",56,1
"10.1097/ACM.0000000000000734","thirty_uv",94,1
"10.1097/ACM.0000000000000736","thirty_uv",10,1
"10.1097/ACM.0000000000000755","thirty_uv",2,1
"10.1097/ACM.0000000000000763","thirty_uv",7,1
"10.1097/ACM.0000000000000766","thirty_uv",3,1
"10.1097/ACM.0000000000000768","thirty_uv",3,1
"10.1097/ACM.0000000000000773","thirty_uv",4,1
"10.1097/ACM.0000000000000777","thirty_uv",8,1
"10.1097/ACM.0000000000000779","thirty_uv",25,1
"10.1097/ACM.0000000000000786","thirty_uv",30,1
"10.1097/ACM.0000000000000792","thirty_uv",6,1
"10.1097/ACM.0000000000000794","thirty_uv",9,1
"10.1097/ACM.0000000000000801","thirty_uv",30,1
"10.1097/ACM.0000000000000803","thirty_uv",13,1
"10.1097/ACM.0000000000000806","thirty_uv",2,1
"10.1097/ACM.0000000000000809","thirty_uv",44,1
"10.1097/ACM.0000000000000822","thirty_uv",32,1
"10.1097/ACM.0000000000000828","thirty_uv",5,1
"10.1097/ACM.0000000000000829","thirty_uv",6,1
"10.1097/ACM.0000000000000842","thirty_uv",31,1
"10.1097/ACM.0000000000000846","thirty_uv",0,1
"10.1097/ACM.0000000000000857","thirty_uv",2,1
"10.1097/ACM.0000000000000860","thirty_uv",5,1
"10.1097/ACM.0000000000000873","thirty_uv",2,1
"10.1097/ACM.0000000000000887","thirty_uv",21,1
"10.1097/ACM.0000000000000921","thirty_uv",15,1
"10.1097/ACM.0000000000000933","thirty_uv",7,1
"10.1097/ACM.0000000000000939","thirty_uv",56,1
"10.1097/ACM.0000000000000954","thirty_uv",2,1
"10.1097/ACM.0000000000000960","thirty_uv",6,1
"10.1097/ACM.0000000000000970","thirty_uv",11,1
"10.1097/ACM.0000000000000437","one_hft",0,1
"10.1097/ACM.0000000000000440","one_hft",0,1
"10.1097/ACM.0000000000000449","one_hft",0,1
"10.1097/ACM.0000000000000465","one_hft",0,1
"10.1097/ACM.0000000000000499","one_hft",1,1
"10.1097/ACM.0000000000000506","one_hft",0,1
"10.1097/ACM.0000000000000521","one_hft",0,1
"10.1097/ACM.0000000000000522","one_hft",1,1
"10.1097/ACM.0000000000000524","one_hft",0,1
"10.1097/ACM.0000000000000525","one_hft",0,1
"10.1097/ACM.0000000000000528","one_hft",0,1
"10.1097/ACM.0000000000000529","one_hft",1,1
"10.1097/ACM.0000000000000535","one_hft",0,1
"10.1097/ACM.0000000000000541","one_hft",0,1
"10.1097/ACM.0000000000000543","one_hft",0,1
"10.1097/ACM.0000000000000547","one_hft",0,1
"10.1097/ACM.0000000000000550","one_hft",0,1
"10.1097/ACM.0000000000000551","one_hft",0,1
"10.1097/ACM.0000000000000553","one_hft",0,1
"10.1097/ACM.0000000000000562","one_hft",0,1
"10.1097/ACM.0000000000000564","one_hft",1,1
"10.1097/ACM.0000000000000578","one_hft",0,1
"10.1097/ACM.0000000000000579","one_hft",0,1
"10.1097/ACM.0000000000000581","one_hft",0,1
"10.1097/ACM.0000000000000583","one_hft",0,1
"10.1097/ACM.0000000000000586","one_hft",1,1
"10.1097/ACM.0000000000000588","one_hft",0,1
"10.1097/ACM.0000000000000590","one_hft",1,1
"10.1097/ACM.0000000000000591","one_hft",0,1
"10.1097/ACM.0000000000000592","one_hft",1,1
"10.1097/ACM.0000000000000594","one_hft",1,1
"10.1097/ACM.0000000000000606","one_hft",0,1
"10.1097/ACM.0000000000000610","one_hft",5,1
"10.1097/ACM.0000000000000612","one_hft",0,1
"10.1097/ACM.0000000000000616","one_hft",0,1
"10.1097/ACM.0000000000000617","one_hft",0,1
"10.1097/ACM.0000000000000619","one_hft",2,1
"10.1097/ACM.0000000000000631","one_hft",0,1
"10.1097/ACM.0000000000000632","one_hft",0,1
"10.1097/ACM.0000000000000633","one_hft",0,1
"10.1097/ACM.0000000000000640","one_hft",1,1
"10.1097/ACM.0000000000000646","one_hft",30,1
"10.1097/ACM.0000000000000648","one_hft",0,1
"10.1097/ACM.0000000000000649","one_hft",1,1
"10.1097/ACM.0000000000000650","one_hft",0,1
"10.1097/ACM.0000000000000655","one_hft",0,1
"10.1097/ACM.0000000000000658","one_hft",0,1
"10.1097/ACM.0000000000000661","one_hft",1,1
"10.1097/ACM.0000000000000674","one_hft",0,1
"10.1097/ACM.0000000000000675","one_hft",1,1
"10.1097/ACM.0000000000000679","one_hft",2,1
"10.1097/ACM.0000000000000680","one_hft",0,1
"10.1097/ACM.0000000000000681","one_hft",0,1
"10.1097/ACM.0000000000000683","one_hft",0,1
"10.1097/ACM.0000000000000685","one_hft",0,1
"10.1097/ACM.0000000000000686","one_hft",0,1
"10.1097/ACM.0000000000000701","one_hft",2,1
"10.1097/ACM.0000000000000704","one_hft",0,1
"10.1097/ACM.0000000000000705","one_hft",0,1
"10.1097/ACM.0000000000000714","one_hft",2,1
"10.1097/ACM.0000000000000716","one_hft",1,1
"10.1097/ACM.0000000000000718","one_hft",0,1
"10.1097/ACM.0000000000000719","one_hft",0,1
"10.1097/ACM.0000000000000734","one_hft",6,1
"10.1097/ACM.0000000000000736","one_hft",0,1
"10.1097/ACM.0000000000000755","one_hft",0,1
"10.1097/ACM.0000000000000763","one_hft",0,1
"10.1097/ACM.0000000000000766","one_hft",0,1
"10.1097/ACM.0000000000000768","one_hft",0,1
"10.1097/ACM.0000000000000773","one_hft",0,1
"10.1097/ACM.0000000000000777","one_hft",4,1
"10.1097/ACM.0000000000000779","one_hft",1,1
"10.1097/ACM.0000000000000786","one_hft",2,1
"10.1097/ACM.0000000000000792","one_hft",1,1
"10.1097/ACM.0000000000000794","one_hft",1,1
"10.1097/ACM.0000000000000801","one_hft",2,1
"10.1097/ACM.0000000000000803","one_hft",0,1
"10.1097/ACM.0000000000000806","one_hft",0,1
"10.1097/ACM.0000000000000809","one_hft",3,1
"10.1097/ACM.0000000000000822","one_hft",3,1
"10.1097/ACM.0000000000000828","one_hft",0,1
"10.1097/ACM.0000000000000829","one_hft",0,1
"10.1097/ACM.0000000000000842","one_hft",0,1
"10.1097/ACM.0000000000000846","one_hft",0,1
"10.1097/ACM.0000000000000857","one_hft",0,1
"10.1097/ACM.0000000000000860","one_hft",0,1
